"filename", "language", "C++", "C", "Makefile", "Markdown", "XML", "comment", "blank", "total"
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\.idea\misc.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 18
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\Makefile", "Makefile", 0, 0, 5, 0, 0, 0, 1, 6
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\lex.yy.c", "C", 0, 1368, 0, 0, 0, 360, 331, 2059
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\printer.h", "C++", 47, 0, 0, 0, 0, 5, 8, 60
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\tabele.c", "C", 0, 99, 0, 0, 0, 8, 19, 126
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\tabele.h", "C++", 268, 0, 0, 0, 0, 0, 45, 313
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\y.tab.c", "C", 0, 1338, 0, 0, 0, 271, 261, 1870
"c:\DOCKER\program\C-like-Programming-Language-Compiler---FLEX-BISON-master\y.tab.h", "C++", 106, 0, 0, 0, 0, 37, 16, 159
"Total", "-", 421, 2805, 5, 2, 24, 681, 682, 4620